period,route_group,route_id,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
Summer,Local / other,18,55,7291,6862,26.0,3708.0,94.11603346591689,0.7011866235167206
Summer,Local / other,19,55,1760,1604,20.0,868.0,91.13636363636364,2.304147465437788
Summer,Local / other,1T,55,12138,9375,496.0,6152.0,77.23677706376668,8.062418725617686
Summer,Local / other,200,55,4180,3860,27.0,2100.0,92.3444976076555,1.2857142857142858
Summer,Local / other,210,55,3710,3614,5.0,1864.0,97.41239892183289,0.26824034334763946
Summer,Local / other,211,55,4222,4032,9.0,2124.0,95.4997631454287,0.423728813559322
Summer,Local / other,216,55,1540,1458,0.0,756.0,94.67532467532467,0.0
Summer,Local / other,22,55,3630,3458,13.0,1820.0,95.26170798898072,0.7142857142857143
Summer,Local / other,231,55,2272,2051,30.0,1128.0,90.27288732394366,2.6595744680851063
Summer,Local / other,239,55,3276,3042,39.0,1664.0,92.85714285714286,2.34375
Summer,Local / other,251,55,1502,1401,8.0,736.0,93.27563249001332,1.0869565217391304
Summer,Local / other,27,55,4086,3858,32.0,2060.0,94.41997063142438,1.5533980582524272
Summer,Local / other,28,55,2788,2640,2.0,1392.0,94.69153515064562,0.14367816091954022
Summer,Local / other,281,55,1582,1515,0.0,780.0,95.76485461441213,0.0
Summer,Local / other,30,55,4438,3882,32.0,2232.0,87.47183415953133,1.4336917562724014
Summer,Local / other,31,55,3622,3119,54.0,1816.0,86.11264494754279,2.973568281938326
Summer,Local / other,34,55,2478,2215,31.0,1244.0,89.38660209846651,2.491961414790997
Summer,Local / other,35,55,2554,2301,23.0,1284.0,90.09397024275646,1.7912772585669783
Summer,Local / other,36,55,4222,4016,13.0,2124.0,95.12079583135954,0.6120527306967984
Summer,Local / other,40,55,9747,8456,120.0,4976.0,86.75489894326459,2.4115755627009645
Summer,Local / other,41,55,1870,1764,6.0,924.0,94.33155080213903,0.6493506493506493
Summer,Local / other,45,55,4200,3767,35.0,2120.0,89.69047619047619,1.650943396226415
Summer,Local / other,46L,38,1026,1010,7.0,520.0,98.44054580896686,1.3461538461538463
Summer,Local / other,51A,55,8842,7571,150.0,4500.0,85.62542411219181,3.3333333333333335
Summer,Local / other,51B,55,8954,8330,82.0,4552.0,93.03104757650212,1.8014059753954306
Summer,Local / other,52,55,6466,6264,6.0,3288.0,96.87596659449427,0.18248175182481752
Summer,Local / other,54,55,5476,5164,1.0,2784.0,94.30241051862673,0.035919540229885055
Summer,Local / other,56,55,2478,2359,11.0,1244.0,95.19774011299435,0.8842443729903537
Summer,Local / other,57,55,8284,7684,80.0,4188.0,92.75712216320618,1.9102196752626552
Summer,Local / other,6,55,9141,8557,29.0,4640.0,93.6112022754622,0.625
Summer,Local / other,60,55,3320,2890,39.0,1672.0,87.04819277108433,2.3325358851674642
Summer,Local / other,62,55,5910,5010,128.0,2988.0,84.77157360406092,4.28380187416332
Summer,Local / other,65,38,1520,1486,0.0,780.0,97.76315789473684,0.0
Summer,Local / other,67,38,1102,1082,0.0,560.0,98.18511796733212,0.0
Summer,Local / other,7,55,1870,1828,3.0,924.0,97.75401069518716,0.3246753246753247
Summer,Local / other,70,55,2566,2279,46.0,1296.0,88.81527669524552,3.549382716049383
Summer,Local / other,71,55,2528,2291,19.0,1276.0,90.625,1.4890282131661443
Summer,Local / other,72,55,4273,3491,167.0,2148.0,81.69904048677743,7.774674115456238
Summer,Local / other,72L,55,2970,2656,36.0,1484.0,89.42760942760943,2.4258760107816713
Summer,Local / other,72M,55,4510,3567,159.0,2268.0,79.0909090909091,7.01058201058201
Summer,Local / other,73,55,6041,5271,149.0,3048.0,87.25376593279259,4.888451443569553
Summer,Local / other,74,55,3616,3236,52.0,1824.0,89.49115044247787,2.8508771929824563
Summer,Local / other,76,55,4222,3594,96.0,2124.0,85.12553292278541,4.519774011299435
Summer,Local / other,86,55,4252,4162,0.0,2136.0,97.88334901222954,0.0
Summer,Local / other,88,55,5880,5530,51.0,2972.0,94.04761904761905,1.7160161507402423
Summer,Local / other,9,55,7860,6740,142.0,3980.0,85.75063613231552,3.5678391959798996
Summer,Local / other,90,55,5091,4540,45.0,2588.0,89.17697898251816,1.7387944358578054
Summer,Local / other,93,55,2554,2382,17.0,1284.0,93.265465935787,1.32398753894081
Summer,Local / other,95,55,2310,2244,4.0,1148.0,97.14285714285714,0.34843205574912894
Summer,Local / other,96,55,3668,3459,32.0,1840.0,94.3020719738277,1.7391304347826086
Summer,Local / other,97,55,5805,4986,129.0,2960.0,85.89147286821705,4.358108108108108
Summer,Local / other,98,55,5074,4578,42.0,2580.0,90.22467481277098,1.627906976744186
Summer,School,620,2,4,4,0.0,2.0,100.0,0.0
Summer,School,627,2,4,4,0.0,2.0,100.0,0.0
Summer,School,629,2,4,4,0.0,2.0,100.0,0.0
Summer,Transbay,E,38,304,296,0.0,140.0,97.36842105263158,0.0
Summer,Transbay,F,55,4349,4149,26.0,2188.0,95.40124166475051,1.1882998171846435
Summer,Transbay,FS,38,152,148,0.0,60.0,97.36842105263158,0.0
Summer,Transbay,G,38,380,371,0.0,180.0,97.63157894736842,0.0
Summer,Transbay,J,38,380,369,1.0,180.0,97.10526315789474,0.5555555555555556
Summer,Transbay,L,38,304,303,0.0,140.0,99.67105263157895,0.0
Summer,Transbay,NL,55,5569,4716,76.0,2832.0,84.68306697791346,2.6836158192090394
Summer,Transbay,NX,38,342,316,2.0,160.0,92.39766081871345,1.25
Summer,Transbay,NX3,38,266,248,0.0,120.0,93.23308270676692,0.0
Summer,Transbay,O,55,3200,2815,38.0,1624.0,87.96875,2.3399014778325125
Summer,Transbay,P,38,608,598,0.0,300.0,98.35526315789474,0.0
Summer,Transbay,U,38,418,0,180.0,200.0,0.0,90.0
Summer,Transbay,V,38,380,370,0.0,180.0,97.36842105263158,0.0
Summer,Transbay,W,38,342,313,1.0,160.0,91.52046783625731,0.625
