direction_id,direction,day_type,time_band,n,service_days,scheduled_headway_min,p25_min,median_min,p75_min,p90_min,p95_min,p99_min,max_min,mean_min,cv,mean_rider_wait_min,bunching_pct,gap_1_5x_pct,gap_2x_pct,intervals_with_missing_slots_pct
0,Fruitvale-bound,Sunday / holiday,Midday,193,9,15.0,12.800328866666666,15.175909733333333,18.560059983333336,26.565356980000004,31.683117469999956,43.50401677799975,64.1508558,16.95092731278066,0.46763386397107654,10.319286928681384,5.181347150259067,13.471502590673575,6.7357512953367875,11.917098445595855
0,Fruitvale-bound,Sunday / holiday,PM peak,110,9,15.0,12.011588224999999,15.557018316666667,23.888638895833335,32.159902873333344,37.9790244125,49.34721824216667,54.19471983333334,18.910885132727273,0.5284192273844678,12.07165434899561,7.2727272727272725,26.36363636363636,14.545454545454545,23.636363636363637
0,Fruitvale-bound,Weekday,AM peak,504,44,13.0,11.876205529166665,14.655524466666666,17.53223521666667,22.54452360833333,27.45604232999999,33.29984081983332,44.771416433333336,15.373296993683862,0.37122601735920185,8.743834202880153,2.976190476190476,15.873015873015872,6.349206349206349,9.126984126984127
0,Fruitvale-bound,Weekday,Early AM,116,44,15.0,13.531334404166667,14.929526575,16.184781362499997,17.918023275,22.353566333333333,35.41744001666665,35.94090141666666,15.394555814655174,0.2947997566928553,8.360457661634562,0.8620689655172413,5.172413793103448,3.4482758620689653,3.4482758620689653
0,Fruitvale-bound,Weekday,Evening,653,44,15.0,14.117778833333334,17.635374449999997,21.117473716666666,30.990106396666675,39.03556794,59.61793820266671,99.73181921666666,19.67441864004594,0.5338856550340174,12.636853452614119,2.1439509954058193,20.06125574272588,11.0260336906585,18.376722817764165
0,Fruitvale-bound,Weekday,Late night,33,33,20.0,18.890513016666667,21.019223616666668,24.5018301,40.25890220666667,63.84474715999997,77.612625046,78.16834735,26.67516147979798,0.5811576820804434,17.705766168294236,0.0,18.181818181818183,12.121212121212121,21.21212121212121
0,Fruitvale-bound,Weekday,Midday,1202,44,12.0,9.415263666666666,12.379778175,15.739580175,19.968571503333333,24.254020665833337,32.664666248500005,65.52650311666666,13.245879066417084,0.45914570379740377,8.017991480766463,7.487520798668886,15.141430948419302,5.490848585690515,8.569051580698835
0,Fruitvale-bound,Weekday,PM peak,723,44,12.0,9.651625508333332,12.687560600000001,16.83137845,25.51290459666667,31.676517054999984,40.98484645233331,59.335492683333335,14.58125523976487,0.5523407606054169,9.51177821086708,8.437067773167358,22.821576763485478,12.171507607192254,18.118948824343015
1,Rockridge-bound,Saturday,AM peak,55,7,20.0,16.97307766666667,20.016636933333334,24.332972233333333,27.227994883333334,32.872451693333296,43.387878181000005,43.8425437,21.031416480303026,0.343501703637478,11.733932907296664,1.8181818181818181,5.454545454545454,5.454545454545454,5.454545454545454
1,Rockridge-bound,Saturday,Evening,56,7,20.0,16.788138433333334,24.218917933333334,43.13086949583333,65.77528802500001,85.73785835833334,113.29021994666668,115.09009406666668,33.64579031071429,0.7504732481699385,26.12852626164204,5.357142857142857,41.07142857142857,30.357142857142854,41.07142857142857
1,Rockridge-bound,Saturday,Late night,1,1,30.0,27.968380500000002,27.968380500000002,27.968380500000002,27.968380500000002,27.968380500000002,27.968380500000002,27.968380500000002,27.968380500000002,,13.984190250000003,0.0,0.0,0.0,0.0
1,Rockridge-bound,Saturday,Midday,134,7,15.0,12.787653891666666,15.9667612,21.252798354166664,32.98790973333333,41.09291328583331,46.44016730666666,47.0038006,18.55691317437811,0.5394562012128433,11.958457625550867,7.462686567164178,22.388059701492537,14.17910447761194,21.641791044776117
1,Rockridge-bound,Saturday,PM peak,75,7,15.0,12.072691566666666,16.288935016666667,26.31025818333333,50.15833707333338,63.080096476666654,67.42383205100005,73.45738419999999,22.509786466222224,0.7431779074188288,17.388238559732095,8.0,30.666666666666664,22.666666666666664,36.0
1,Rockridge-bound,Sunday / holiday,AM peak,70,9,20.0,15.901528629166668,19.987290424999998,24.692999620833334,27.961303495,35.510839959166645,48.982201864666706,62.11211811666667,21.154812230238093,0.40467514017118333,12.284837584595552,2.857142857142857,7.142857142857142,4.285714285714286,7.142857142857142
1,Rockridge-bound,Sunday / holiday,Evening,86,9,20.0,15.471539745833333,22.086552341666668,36.310858008333334,53.350724225,60.912493195833335,84.40956919416672,93.29096548333334,28.33677553682171,0.6389529567497297,19.885525792884025,5.813953488372093,32.55813953488372,20.930232558139537,36.04651162790697
1,Rockridge-bound,Sunday / holiday,Late night,7,7,30.0,41.68454403333333,59.06264633333333,74.44569986666667,102.14169013000001,113.59437756499997,122.75652751299998,125.047065,63.26883928333333,0.533795115586765,39.360554293613035,0.0,71.42857142857143,42.857142857142854,57.14285714285714
1,Rockridge-bound,Sunday / holiday,Midday,186,9,15.0,11.69267655,15.332607541666668,20.4240859125,29.63056723333333,35.388703454166674,51.14309584166668,66.14693016666666,17.121515714784948,0.5673195562413428,11.301237033295765,11.827956989247312,20.43010752688172,10.21505376344086,12.365591397849462
1,Rockridge-bound,Sunday / holiday,PM peak,111,9,15.0,11.392229408333332,17.166475766666668,25.442662575,31.912203033333334,38.36341803333333,55.0982405416667,58.40235173333333,19.38561632702703,0.5585330074577791,12.689326992339296,9.00900900900901,32.432432432432435,17.117117117117118,28.82882882882883
1,Rockridge-bound,Weekday,AM peak,486,44,15.0,11.963418491666665,15.203649841666667,18.401231425,23.979459275,28.882542116666666,37.34848552083331,53.87689218333333,15.904658973593962,0.4414150100126467,9.498630459337166,8.024691358024691,12.139917695473251,4.732510288065844,9.670781893004115
1,Rockridge-bound,Weekday,Early AM,74,41,15.0,12.8985575375,14.171982375,16.525768570833336,18.058516216666668,20.509069946666653,31.98847957383333,32.0349819,14.80438201554054,0.32495790086184617,8.173281998984361,5.405405405405405,4.054054054054054,4.054054054054054,5.405405405405405
1,Rockridge-bound,Weekday,Evening,662,44,15.0,12.802665091666666,17.732645066666667,22.9316714375,33.85003129333332,40.34640287916666,59.49680029483329,98.91319575000001,19.682007734793554,0.5496064562772083,12.809158509232486,4.833836858006042,25.981873111782477,12.235649546827794,19.335347432024168
1,Rockridge-bound,Weekday,Late night,70,43,20.0,17.7037714375,20.359282508333333,28.5345534125,40.01650620833334,45.64986258833333,60.58993695366667,61.696389466666666,24.90499580404762,0.46155615536248223,15.067407157394472,0.0,24.285714285714285,10.0,24.285714285714285
1,Rockridge-bound,Weekday,Midday,1157,44,12.0,8.77434785,12.987995116666667,17.008003633333335,23.113174393333335,27.215312116666666,36.59720598800001,77.06418401666666,13.680536237899743,0.5768951760502631,9.114796787726002,13.915298184961106,21.34831460674157,8.556611927398444,12.878133102852205
1,Rockridge-bound,Weekday,PM peak,763,44,12.0,8.258506966666666,12.1840125,16.677298133333334,24.76946717666667,29.63737950499999,40.40629696399999,52.93332686666667,13.846498585757972,0.5775994002918914,9.229963926024507,10.878112712975097,20.0524246395806,11.140235910878113,14.285714285714285
