direction_id,direction,segment_id,segment_label,upstream_stop_id,downstream_stop_id,day_type,time_band,n,service_days,distance_m,scheduled_runtime_s,median_s,p25_s,p75_s,p90_s,p95_s,max_s,median_speed_mph,baseline_s,baseline_method,baseline_n,slowdown_pct,schedule_overrun_pct,median_ci_low_s,median_ci_high_s,is_target,target_label
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,Late night,5,5,236.84000000000015,26.0,85.190678,65.684625,90.169177,100.3223752,103.70677459999999,107.091174,6.218942432175505,56.600202499999995,weekday 5–7 a.m. median,300,50.51302687477137,227.65645384615385,62.421076,107.091174,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,Midday,190,9,236.84000000000015,40.0,97.86722599999999,78.142412,116.1318685,143.45694029999999,159.86993239999998,241.911898,5.413421137507427,56.600202499999995,weekday 5–7 a.m. median,300,72.90967466061626,144.66806499999998,95.7813455,105.302802,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,PM peak,116,9,236.84000000000015,41.0,95.370172,71.36452075,114.796613,130.7239975,144.779582,155.455607,5.555343518053462,56.600202499999995,weekday 5–7 a.m. median,300,68.49793426092425,132.61017560975608,90.282989,106.06093,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,AM peak,496,44,236.84000000000015,33.0,78.732704,63.643954,101.05417675,120.1076255,132.06254324999998,238.477419,6.729129865203915,56.600202499999995,weekday 5–7 a.m. median,300,39.103219639541045,138.5839515151515,73.167212,80.678795,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,Early AM,160,44,236.84000000000015,28.0,46.2704455,34.260852,60.99694375,70.87380040000001,78.13431279999999,151.542584,11.450018371848408,56.600202499999995,weekday 5–7 a.m. median,300,-18.250388768485404,65.25159107142858,44.10248975,52.233347,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,Evening,659,44,236.84000000000015,32.0,68.364238,55.463442,90.7749105,107.6527392,118.94591950000002,338.357454,7.749606193811454,56.600202499999995,weekday 5–7 a.m. median,300,20.78444065637399,113.63824375,65.2312205,72.0140925,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,Late night,33,33,236.84000000000015,25.0,55.977804,45.753604,68.342892,84.0783504,109.11545939999999,129.905489,9.464392748240005,56.600202499999995,weekday 5–7 a.m. median,300,-1.0996400587082622,123.911216,51.16415,66.531201,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,Midday,1196,44,236.84000000000015,42.0,93.16521900000001,74.6112545,114.1971025,139.72522,153.3352845,353.167466,5.686627803272502,56.600202499999995,weekday 5–7 a.m. median,300,64.60227152014168,121.82195,91.1933585,96.071046,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Weekday,PM peak,744,44,236.84000000000015,42.0,98.56148999999999,81.03496675,113.29448625,136.4323855,159.28508705000002,333.775451,5.375283754696039,56.600202499999995,weekday 5–7 a.m. median,300,74.13628511311421,134.67021428571425,95.929961,100.56560825,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,AM peak,58,7,202.02000000000044,38.0,53.9089825,42.17875375,68.9053925,84.9997663,87.71360834999999,140.366937,8.383026691725814,45.557679,weekday 5–7 a.m. median,318,18.331275173171147,41.86574342105263,48.945132,59.4627755,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,Early AM,14,7,202.02000000000044,31.0,39.564338500000005,33.582273,46.635675,50.956973,54.75132255,61.668046,11.433182357207787,45.557679,weekday 5–7 a.m. median,318,-13.155500085945981,27.626898387096798,33.696087000000006,45.9129475,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,Evening,49,7,202.02000000000044,46.0,53.798879,42.921097,68.747416,83.13591860000001,93.40267459999998,111.377723,8.399911282909835,45.557679,weekday 5–7 a.m. median,318,18.0895958286198,16.954084782608692,49.297131,62.65334300000001,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,Late night,4,4,202.02000000000044,38.0,47.3060035,42.6547495,50.098279000000005,50.274373,50.333071,50.391769,9.583913609182172,45.557679,weekday 5–7 a.m. median,318,3.8376066085368477,24.489482894736845,,,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,Midday,140,7,202.02000000000044,57.0,58.600373,46.325116,71.866565,84.6795917,89.93028034999996,153.567604,7.711662479226975,45.557679,weekday 5–7 a.m. median,318,28.628969443329176,2.8076719298245623,56.828969,59.81787,False,
